,Book-Rating_x,Book-Rating_y,Unnamed: 0,ISBN,bookTitle,bookAuthor,yearOfPublication,publisher
1776,1103,7.713286713286713,1776,0440224764,The Partner,John Grisham,1998,Dell Publishing Company
3939,1090,8.19548872180451,3939,0316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books
4578,1088,8.0,4578,0684872153,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner
5545,1085,7.431506849315069,5545,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
3234,1072,8.0,3234,1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications
2809,1069,8.983193277310924,2809,0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic
669,1064,7.940298507462686,669,0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
1702,1045,7.206896551724138,1702,0375707972,The Reader,Bernhard Schlink,1999,Vintage Books USA
7499,1043,7.45,7499,0440222656,The Horse Whisperer,Nicholas Evans,1996,Dell
1517,1042,7.776119402985074,1517,0375700757,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage
5248,1035,8.023255813953488,5248,0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor
2232,1034,8.837606837606838,2232,0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books
1553,1034,7.180555555555555,1553,0375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA
1793,1032,7.938461538461539,1793,0385486804,Into the Wild,Jon Krakauer,1997,Anchor
1012,1026,7.434782608695652,1012,044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell
38,1018,8.483333333333333,38,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
52,1014,7.62406015037594,52,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
5070,1013,7.732824427480916,5070,014028009X,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books
2442,1012,7.4411764705882355,2442,0345353145,Sphere,MICHAEL CRICHTON,1988,Ballantine Books
1207,1011,8.023809523809524,1207,0380789019,Neverwhere,Neil Gaiman,1998,Avon
3783,1007,8.056,3783,068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone
516,997,8.521367521367521,516,0060915544,The Bean Trees,Barbara Kingsolver,1989,Perennial
6932,985,8.954545454545455,6932,0439139600,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2002,Scholastic Paperbacks
2948,984,7.627906976744186,2948,0312305060,The Hours: A Novel,Michael Cunningham,2002,Picador
5175,981,7.057553956834532,5175,0452282829,We Were the Mulvaneys,Joyce Carol Oates,1996,Plume
1355,974,7.435114503816794,1355,0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision
5607,974,7.854838709677419,5607,0446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books
1078,969,7.021739130434782,1078,0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books
1071,962,7.574803149606299,1071,0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone
1985,943,8.495495495495495,1985,0449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books
712,939,7.27906976744186,712,0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books
4479,937,8.366071428571429,4479,0312924585,Silence of the Lambs,Thomas Harris,1991,St. Martin's Press
677,932,8.03448275862069,677,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1777,932,7.766666666666667,1777,0553572997,The Alienist,Caleb Carr,1995,Bantam Books
5887,925,8.258928571428571,5887,0671001795,Two for the Dough,Janet Evanovich,1996,Pocket
8946,901,8.58095238095238,8946,0440212561,Outlander,DIANA GABALDON,1992,Dell
2001,900,7.5,2001,0316569321,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown"
758,893,7.441666666666666,758,0385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday
2104,886,8.772277227722773,2104,0451524934,1984,George Orwell,1990,Signet Book
5977,885,7.901785714285714,5977,0804114986,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books
915,875,8.663366336633663,915,0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf
405,871,7.38135593220339,405,006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch
1421,870,8.20754716981132,1421,0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books
3109,866,7.338983050847458,3109,0679746048,"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage
1757,863,7.9907407407407405,1757,0399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade
3171,862,8.62,3171,0380002930,Watership Down,Richard Adams,1976,Avon
2488,852,7.539823008849558,2488,0140298479,Bridget Jones: The Edge of Reason,Helen Fielding,2001,Penguin Books
2536,851,7.4,2536,0385265700,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990,Anchor
1827,848,8.076190476190476,1827,0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco
4546,844,8.038095238095238,4546,0515131229,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
3120,838,8.135922330097088,3120,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
94,834,7.794392523364486,94,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
800,833,7.371681415929204,800,0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
4155,816,7.486238532110092,4155,0446611867,A Bend in the Road,Nicholas Sparks,2002,Warner Books
8981,815,7.688679245283019,8981,0684801523,The Great Gatsby,F. Scott Fitzgerald,1995,Scribner
114,815,7.836538461538462,114,0446612545,The Beach House,James Patterson,2003,Warner Books
73,812,8.03960396039604,73,0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
647,810,8.26530612244898,647,068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner
5579,803,8.452631578947368,5579,1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
2380,801,7.701923076923077,2380,0380731851,Mystic River,Dennis Lehane,2002,HarperTorch
5430,798,8.48936170212766,5430,0671041789,The Green Mile,Stephen King,1999,Pocket
2021,795,8.457446808510639,2021,0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam
1429,785,8.010204081632653,1429,080410753X,The Kitchen God's Wife,Amy Tan,1992,Ivy Books
3747,785,8.532608695652174,3747,0553272535,Night,Elie Wiesel,1982,Bantam Books
6196,782,6.920353982300885,6196,0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks
2441,779,7.637254901960785,2441,0553279912,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987,Bantam
6400,779,7.280373831775701,6400,0385503822,The Summons,John Grisham,2002,Doubleday Books
3269,777,7.0,3269,0385720106,A Map of the World,Jane Hamilton,1999,Anchor Books/Doubleday
3022,777,8.26595744680851,3022,0060987561,I Know This Much Is True,Wally Lamb,1999,Regan Books
5873,775,8.157894736842104,5873,0312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks
1131,772,7.958762886597938,1131,0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books
285,770,8.369565217391305,285,0451526341,Animal Farm,George Orwell,2004,Signet
246,765,8.138297872340425,246,0151008116,Life of Pi,Yann Martel,2002,Harcourt
1020,762,8.106382978723405,1020,0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador
1306,759,8.25,1306,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books
780,757,9.120481927710843,780,0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey
5786,755,7.704081632653061,5786,0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group
3046,751,7.51,3046,0786881852,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,1997,Hyperion
202,745,7.680412371134021,202,0060977493,The God of Small Things,Arundhati Roy,1998,Perennial
2128,745,7.525252525252525,2128,0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books
7970,744,8.08695652173913,7970,0312980140,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Paperbacks
5309,743,7.989247311827957,5309,080410526X,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books
2816,742,8.337078651685394,2816,0446532231,"Dude, Where's My Country?",Michael Moore,2003,Warner Books
2527,742,7.42,2527,0345351525,The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books
8406,742,8.431818181818182,8406,0743227441,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone
6401,740,7.628865979381444,6401,0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press
4283,739,7.4646464646464645,4283,0060987529,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,2000,Regan Books
1518,739,8.593023255813954,1518,0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill
4173,738,7.6875,4173,0553582755,One Door Away from Heaven,Dean R. Koontz,2002,Bantam Books
7861,736,7.510204081632653,7861,0446607657,When the Wind Blows,James Patterson,1999,Warner Vision
482,735,7.5,482,0440226104,Black and Blue,ANNA QUINDLEN,1999,Dell
4577,733,7.479591836734694,4577,038079487X,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998,Perennial
244,733,7.71578947368421,244,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications
5283,732,8.318181818181818,5283,0142001430,Year of Wonders,Geraldine Brooks,2002,Penguin Books
14953,731,8.213483146067416,14953,0553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel,1984,Bantam Books
102,730,8.39080459770115,102,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
4478,725,7.712765957446808,4478,0425152251,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996,Berkley Publishing Group
4206,724,9.402597402597403,4206,0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986,Del Rey
2296,724,8.044444444444444,2296,0440236703,Tell No One,Harlan Coben,2002,Dell Publishing Company
3283,723,8.406976744186046,3283,0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers
410,723,7.158415841584159,410,0440224675,Hannibal,Thomas Harris,2000,Dell Publishing Company
1324,721,8.101123595505618,1324,0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta
5350,720,7.578947368421052,5350,0440235596,Tara Road,Maeve Binchy,2000,Dell Publishing Company
16780,719,8.876543209876543,16780,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
2122,717,8.63855421686747,2122,0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey
4081,715,7.944444444444445,4081,067102423X,Bag of Bones,Stephen King,1999,Pocket
1352,713,8.195402298850574,1352,0441003257,Good Omens,Neil Gaiman,1996,Ace Books
6402,713,7.505263157894737,6402,0345439104,Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,2001,Ballantine Books
4941,711,7.813186813186813,4941,0066214122,Prey: A Novel,Michael Crichton,2002,HarperCollins
6582,711,7.728260869565218,6582,0345387651,The Cider House Rules,John Irving,1994,Ballantine Books
207,711,7.255102040816326,207,0345378490,Congo,Michael Crichton,1995,Ballantine Books
3188,710,8.352941176470589,3188,0312971346,High Five (A Stephanie Plum Novel),Janet Evanovich,2000,St. Martin's Paperbacks
2866,708,7.695652173913044,2866,0446611212,Violets Are Blue,James Patterson,2002,Warner Vision
237,707,7.602150537634409,237,0671027387,Deception Point,Dan Brown,2002,Pocket
2784,705,7.921348314606742,2784,051513287X,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books
1263,703,8.174418604651162,1263,0099771519,Memoirs of a Geisha Uk,Arthur Golden,1994,Trafalgar Square
2884,701,7.619565217391305,2884,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1947,701,7.22680412371134,1947,034540288X,The Lost World,Michael Crichton,1996,Ballantine Books
358,701,7.7032967032967035,358,0312995423,Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press
5759,698,7.7555555555555555,5759,0446670251,The Virgin Suicides,Jeffrey Eugenides,1994,Warner Books
3727,695,7.722222222222222,3727,0446612790,2nd Chance,James Patterson,2003,Warner Vision
2544,694,6.673076923076923,2544,1573229326,How to Be Good,Nick Hornby,2002,Riverhead Books
5450,692,8.337349397590362,5450,0440180295,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel
225,690,8.117647058823529,225,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
1696,690,7.5,1696,0345438329,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001,Ballantine Books
4078,684,7.276595744680851,4078,074343627X,Dreamcatcher,Stephen King,2001,Pocket
2379,677,7.693181818181818,2379,0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group
2830,675,7.5,2830,0385498802,Bee Season: A Novel,Myla Goldberg,2001,Anchor Books/Doubleday
8237,673,8.973333333333333,8237,0441172717,Dune (Remembering Tomorrow),Frank Herbert,1996,ACE Charter
126,671,7.063157894736842,126,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
1312,670,8.7012987012987,1312,0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam
6867,669,7.433333333333334,6867,0679745203,The English Patient,Michael Ondaatje,1996,Vintage Books USA
6842,662,8.597402597402597,6842,0440998050,A Wrinkle in Time,Madeleine L'Engle,1976,Laure Leaf
10714,661,7.869047619047619,10714,080411109X,The Hundred Secret Senses,Amy Tan,1996,Ivy Books
226,660,7.415730337078652,226,0446610399,The Rescue,Nicholas Sparks,2001,Warner Books
219,660,7.415730337078652,219,0385508042,The King of Torts,John Grisham,2003,Doubleday Books
5649,658,8.657894736842104,5649,0440414806,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling
1029,654,8.837837837837839,1029,0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey
1828,654,8.384615384615385,1828,0060175400,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins
7851,651,7.843373493975903,7851,0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam
2918,650,8.024691358024691,2918,0425147622,The Body Farm,Patricia Daniels Cornwell,1995,Berkley Publishing Group
2910,648,8.1,2910,0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994,Avon
2885,647,7.188888888888889,2885,034538475X,The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books
1484,645,7.771084337349397,1484,014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books
1860,645,7.329545454545454,1860,0345380371,Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books
4020,645,8.0625,4020,0440211263,Circle of Friends,Maeve Binchy,1991,Dell
681,644,7.155555555555556,681,0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper)
5050,643,7.654761904761905,5050,0671004530,On the Street Where You Live,Mary Higgins Clark,2002,Pocket
1374,641,7.72289156626506,1374,0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA
4781,637,7.9625,4781,0345413350,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1997,Del Rey
1129,637,7.864197530864198,1129,0446601241,Kiss the Girls,James Patterson,1995,Warner Books
5802,632,8.102564102564102,5802,0871136791,Cold Mountain,Charles Frazier,1997,Atlantic Monthly Press
7546,629,7.8625,7546,014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books
10615,627,8.36,10615,0060391626,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books
5544,624,7.703703703703703,5544,0451184963,Insomnia,Stephen King,1995,Signet Book
12714,621,7.481927710843373,12714,0061097101,The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch
1102,619,8.364864864864865,1102,039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co
3847,617,9.073529411764707,3847,0064400557,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy
4219,617,7.7125,4219,0446679593,Suzanne's Diary for Nicholas,James Patterson,2002,Warner Books
21286,616,8.0,21286,0446606189,Cat &amp; Mouse (Alex Cross Novels),James Patterson,1998,Warner Books
19,614,7.772151898734177,19,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
9294,614,7.580246913580247,9294,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
6423,614,7.309523809523809,6423,0425180638,The Last Precinct,Patricia Cornwell,2001,Berkley Publishing Group
2127,612,7.846153846153846,2127,0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks
1376,612,7.463414634146342,1376,0671038184,Jewel,Bret Lott,1999,Washington Square Press
914,605,8.402777777777779,914,0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books
4544,602,7.921052631578948,4544,0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
3739,601,7.805194805194805,3739,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
4697,600,8.333333333333334,4697,0441790348,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter
786,600,7.594936708860759,786,0316969443,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown"
4123,599,7.881578947368421,4123,0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books
2768,596,8.63768115942029,2768,0142004235,East of Eden (Oprah's Book Club),John Steinbeck,2003,Penguin Books
337,595,6.685393258426966,337,0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial
1322,594,8.485714285714286,1322,0451169530,The Stand: Complete and Uncut,Stephen King,1991,Signet Book
1115,593,8.471428571428572,1115,0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell
1209,589,8.068493150684931,1209,0380018179,The Thorn Birds,Colleen McCullough,1978,Avon
27,589,7.455696202531645,27,0345402871,Airframe,Michael Crichton,1997,Ballantine Books
5466,588,7.2592592592592595,5466,0449003795,P Is for Peril,Sue Grafton,2002,Ballantine Books
7720,587,7.5256410256410255,7720,0141000198,Bridget Jones's Diary,Helen Fielding,2001,Penguin Putnam
7742,586,8.492753623188406,7742,0671727796,The Color Purple,Alice Walker,1990,Pocket
7888,586,7.6103896103896105,7888,0441569595,Neuromancer (Remembering Tomorrow),William Gibson,1995,Ace Books
